,Accuracy,Precision,Recall,F1-Score,AUC-ROC
random_forest,0.9532163742690059,0.9666666666666667,0.90625,0.9354838709677419,0.9943049065420562
svm,0.9590643274853801,1.0,0.890625,0.9421487603305785,0.9966413551401869
gradient_boosting,0.9590643274853801,1.0,0.890625,0.9421487603305785,0.9953271028037383
xgboost,0.9707602339181286,0.9682539682539683,0.953125,0.9606299212598425,0.9966413551401869
